id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
74,Endless Streets,Glass Pulse,indie pop,romantic,0.6,106,0.77,0.66,0.35
75,Endless Halo,Static Trio,country,romantic,0.43,110,0.52,0.6,0.8
76,Glass Avenue,Echo Lanterns,country,romantic,0.65,114,0.67,0.68,0.75
77,Velvet Motion,Slow Frame,country,happy,0.67,112,0.57,0.46,0.82
78,Paper Pulse,Lunar Verse,country,happy,0.5,88,0.61,0.63,0.62
79,Silent Echoes,Silver Frame,country,romantic,0.63,110,0.75,0.68,0.58
80,Endless Horizon,Blue Fever,country,romantic,0.61,119,0.72,0.66,0.79
81,Endless Nights,Electric Fever,reggae,relaxed,0.45,93,0.67,0.64,0.46
82,Wild Echoes,Echo Pulse,reggae,relaxed,0.55,88,0.76,0.7,0.41
83,Neon Motion,Lunar Echo,reggae,happy,0.59,86,0.63,0.7,0.49
84,Sacred Halo,Midnight Hollow,reggae,chill,0.66,90,0.64,0.79,0.55
85,Cosmic Mirage,Echo Collective,reggae,chill,0.48,100,0.8,0.71,0.44
86,Broken Rush,Neon Circuit,reggae,chill,0.59,99,0.61,0.81,0.6
87,Rainy Rooms,Lunar Circuit,world,relaxed,0.59,110,0.75,0.72,0.59
88,Rainy Glow,Echo Lanterns,world,relaxed,0.43,111,0.82,0.77,0.59
89,Paper Avenue,Amber Verse,world,happy,0.45,97,0.8,0.63,0.66
90,Hidden Orbit,Lunar Frame,world,dreamy,0.47,115,0.61,0.54,0.63
91,Rainy Vertigo,Wild Circuit,world,happy,0.57,101,0.82,0.68,0.62
92,Restless Nights,Glass Room,world,happy,0.41,124,0.82,0.72,0.76
93,City Bloom,Hollow Signal,funk,energetic,0.84,112,0.73,0.85,0.29
94,Crystal Tides,Hollow Verse,funk,energetic,0.77,107,0.88,0.9,0.16
95,Amber Rooms,Crimson Signal,funk,confident,0.78,100,0.68,0.79,0.34
96,Midnight Motion,Hollow Ghost,funk,confident,0.62,120,0.76,0.84,0.28
97,Faded Static,Cosmic Strings,funk,energetic,0.66,120,0.75,0.83,0.17
98,Golden Bloom,Cosmic Trio,funk,energetic,0.83,102,0.79,0.87,0.17
99,Distant Bloom,Lunar Frame,pop,confident,0.63,102,0.8,0.9,0.27
100,Silent Skyline,Wild Drift,pop,confident,0.71,119,0.83,0.78,0.07
101,Wild Orbit,Silver Circuit,pop,moody,0.88,107,0.92,0.71,0.24
102,Restless Signal,Hollow Signal,pop,energetic,0.8,129,0.76,0.82,0.28
103,Sunlit Signal,Wild Pulse,pop,moody,0.87,107,0.89,0.81,0.29
104,Endless Harbor,Slow Drift,pop,moody,0.67,111,0.74,0.82,0.25
105,Cosmic Lanterns,Crimson Pulse,rock,intense,0.84,119,0.4,0.62,0.14
106,Neon Skyline,Hollow Lanterns,rock,energetic,0.79,111,0.46,0.62,0.24
107,Indigo Skyline,Silver Ghost,rock,intense,0.69,144,0.63,0.72,0.07
108,Mountain Vertigo,Hollow Trio,rock,energetic,0.68,111,0.44,0.6,0.28
109,Wild Pulse,Paper Strings,rock,intense,0.87,110,0.52,0.69,0.14
110,Sunlit Tides,Velvet Ghost,rock,confident,0.87,145,0.54,0.69,0.15
111,Ocean Currents,Echo Stereo,synthwave,dreamy,0.73,104,0.66,0.79,0.2
112,Restless Orbit,Neon Fever,synthwave,moody,0.82,105,0.51,0.73,0.26
113,Velvet Drift,Paper Verse,synthwave,dreamy,0.84,110,0.61,0.79,0.23
114,Mountain Mirage,Electric Bloom,synthwave,dreamy,0.63,101,0.5,0.75,0.34
115,Cosmic Tides,Static Stereo,synthwave,moody,0.66,108,0.49,0.67,0.31
116,Velvet Echoes,Crimson Frame,synthwave,energetic,0.73,117,0.61,0.66,0.29
117,Broken Nights,Paper Stereo,hip hop,moody,0.82,107,0.72,0.91,0.1
118,Paper Orbit,Echo Trio,hip hop,energetic,0.64,88,0.61,0.85,0.28
119,Golden Daylight,Crimson Drift,hip hop,energetic,0.88,113,0.46,0.91,0.15
120,Velvet Nights,Crimson Echo,hip hop,energetic,0.61,85,0.52,0.76,0.22
121,Midnight Reverie,Blue Circuit,hip hop,moody,0.64,85,0.64,0.82,0.29
122,Sunlit Skyline,Silver Bloom,hip hop,confident,0.73,109,0.71,0.85,0.32
123,Distant Nights,Lunar Circuit,electronic,euphoric,0.71,126,0.76,0.84,0.14
124,Restless Pulse,Wild Hollow,electronic,intense,0.85,132,0.78,0.79,0.2
125,Cosmic Frost,Glass Pulse,electronic,energetic,0.89,128,0.46,0.9,0.13
126,Golden Echoes,Amber Hollow,electronic,energetic,0.78,122,0.62,0.87,0.17
127,Restless Mirage,Glass Drift,electronic,intense,0.85,133,0.74,0.88,0.14
128,Indigo Currents,Paper Frame,electronic,euphoric,0.84,129,0.56,0.86,0.04
129,Paper Dreams,Crimson Collective,edm,happy,0.95,128,0.61,0.81,0.13
130,Golden Frost,Static Trio,edm,intense,0.77,126,0.8,0.8,0.19
131,Desert Bloom,Silver Parade,edm,euphoric,0.94,120,0.59,0.94,0.14
132,Wild Waves,Velvet Hollow,edm,euphoric,0.9,131,0.7,0.82,0.16
133,Frozen Fever,Hollow Room,edm,happy,0.95,120,0.66,0.81,0.11
134,Rainy Lanterns,Midnight Lanterns,edm,euphoric,0.88,129,0.75,0.82,0.02
135,Golden Drift,Electric Stereo,metal,energetic,0.9,139,0.36,0.53,0.12
136,Midnight Daylight,Velvet Verse,metal,intense,0.91,169,0.47,0.54,0.05
137,Cosmic Embers,Wild Stereo,metal,angry,0.89,144,0.51,0.65,0.08
138,Electric Vertigo,Midnight Trio,metal,intense,0.81,158,0.49,0.6,0.07
139,Amber Avenue,Neon Bloom,metal,angry,0.91,147,0.33,0.59,0.15
140,Ocean Rooms,Lunar Lanterns,metal,intense,0.97,158,0.33,0.7,0.07
